index,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
0,375,500,0,350.2235,157.2414,95.0000,255.0000,33.8381,28779,0.4571
1,500,410,0,535.5776,173.0693,98.0000,255.0000,41.5177,26699,0.4448
2,500,461,0,152.0978,168.1599,95.0000,255.0000,39.1404,21037,0.4571
3,500,333,0,424.0337,187.7006,97.0000,255.0000,38.8203,32316,0.4489
4,500,333,0,751.7026,153.9816,93.0000,255.0000,29.2152,26663,0.4655
5,500,375,0,158.8715,190.4752,105.0000,255.0000,37.4658,23196,0.4167
6,500,375,0,210.3298,157.0049,97.0000,255.0000,29.1941,26992,0.4489
7,500,429,0,76.2138,179.2835,106.0000,252.0000,51.5432,14835,0.4078
8,500,357,0,351.8559,173.2319,100.0000,255.0000,47.5507,21893,0.4366
9,333,500,0,143.7054,164.5836,101.0000,255.0000,40.4606,17592,0.4326
10,378,502,0,1019.7603,68.2520,0.0000,174.0000,47.3448,29120,1.0000
11,316,502,0,5078.4341,137.1738,0.0000,230.0000,64.2910,42851,1.0000
12,334,502,0,2726.2241,76.5980,0.0000,221.0000,56.0463,30464,1.0000
13,398,502,0,1156.5656,23.7367,0.0000,212.0000,45.3498,25957,1.0000
14,378,502,0,5279.0142,14.5646,0.0000,211.0000,31.4089,50681,1.0000
15,375,500,0,0.0000,0.0000,0.0000,0.0000,0.0000,5793,-nan
16,500,333,0,510.2448,110.2171,0.0000,255.0000,65.2808,29819,1.0000
17,500,334,0,40863.9609,147.2448,0.0000,255.0000,73.7468,85695,1.0000
18,378,502,0,3668.1990,34.5397,0.0000,247.0000,59.2670,36029,1.0000
19,360,502,0,3834.2239,19.8453,0.0000,212.0000,29.0483,50471,1.0000
20,500,375,0,412.7344,130.9828,8.0000,239.0000,44.2825,28823,0.9352
21,333,500,0,0.0000,0.0000,0.0000,0.0000,0.0000,5243,-nan
22,500,358,0,40942.2617,139.5495,0.0000,255.0000,81.6441,93855,1.0000
23,337,500,0,216.1722,218.6168,22.0000,250.0000,52.9566,12556,0.8382
24,500,334,0,47734.4336,82.7311,0.0000,255.0000,64.8795,92892,1.0000
25,502,356,0,2770.0259,51.9176,0.0000,222.0000,52.3043,37977,1.0000
26,378,502,0,7841.9668,41.9471,0.0000,236.0000,50.4124,53196,1.0000
27,500,333,0,47438.5078,161.5171,0.0000,255.0000,62.4858,85509,1.0000
28,500,375,0,117750.5156,112.2877,0.0000,255.0000,83.6087,167762,1.0000
29,500,336,0,89.4553,102.4715,0.0000,255.0000,57.3532,19854,1.0000
30,333,500,0,8780.6660,157.5836,0.0000,255.0000,54.5317,43496,1.0000
31,336,502,0,2725.8611,14.2775,0.0000,204.0000,31.8044,25875,1.0000
32,362,502,0,3181.3809,33.8098,0.0000,209.0000,54.9822,33894,1.0000
33,500,362,0,348.0246,101.2246,0.0000,248.0000,58.0610,21181,1.0000
34,375,500,0,10970.1885,165.7946,0.0000,255.0000,37.4705,92742,1.0000
35,500,333,0,473.6562,98.1119,0.0000,255.0000,39.6708,26949,1.0000
36,502,356,0,4438.4307,42.9345,0.0000,215.0000,48.0189,36886,1.0000
37,333,500,0,0.0000,255.0000,255.0000,255.0000,0.0000,5241,0.0000
38,333,500,0,0.0000,0.0000,0.0000,0.0000,0.0000,5243,-nan
39,297,500,0,0.0000,255.0000,255.0000,255.0000,0.0000,4800,0.0000
40,459,500,0,0.0000,255.0000,255.0000,255.0000,0.0000,7005,0.0000
41,500,369,0,0.0000,255.0000,255.0000,255.0000,0.0000,5794,0.0000
42,128,128,0,1350.5320,126.9133,0.0000,255.0000,68.7592,6121,1.0000
43,128,128,0,557.4310,138.6084,0.0000,255.0000,50.6007,5609,1.0000
44,128,128,0,3604.8062,49.2389,0.0000,255.0000,68.7738,11574,1.0000
45,128,128,0,2461.4680,110.0532,0.0000,255.0000,46.1752,12056,1.0000
46,128,128,0,2328.2644,47.9409,0.0000,255.0000,67.4833,6968,1.0000
47,128,128,0,3295.2883,60.3900,0.0000,255.0000,66.8339,9055,1.0000
48,128,128,0,2038.5090,104.8662,0.0000,255.0000,63.8250,8657,1.0000
49,128,128,0,508.8457,98.1001,0.0000,200.0000,38.3940,9387,1.0000
50,128,128,0,760.3990,51.5194,0.0000,170.0000,30.8639,6526,1.0000
51,128,128,0,1709.6093,82.6075,0.0000,255.0000,34.7025,7779,1.0000
52,128,128,0,2881.6616,82.6627,0.0000,255.0000,50.5888,8801,1.0000
53,128,128,0,328.1924,135.9178,27.0000,255.0000,43.0971,4507,0.8085
54,128,128,0,333.8029,87.8799,0.0000,252.0000,44.8587,6774,1.0000
55,128,128,0,455.5108,108.4021,0.0000,255.0000,43.6404,5107,1.0000
56,128,128,0,621.5887,98.9931,0.0000,255.0000,52.5825,9313,1.0000
57,128,128,0,940.9412,173.9978,0.0000,255.0000,56.7414,8372,1.0000
58,128,128,0,320.6344,144.3104,3.0000,223.0000,61.8474,2911,0.9735
59,128,128,0,336.8813,143.0560,6.0000,235.0000,63.8069,3074,0.9502
60,128,128,0,448.1198,103.8666,0.0000,255.0000,53.7265,3780,1.0000
61,128,128,0,821.2408,158.2677,0.0000,255.0000,36.9283,8065,1.0000
62,128,128,0,1231.9386,94.3254,0.0000,255.0000,46.3553,6595,1.0000
63,128,128,0,2554.0122,119.8554,0.0000,255.0000,42.5882,12286,1.0000
64,128,128,0,2630.9387,114.4985,0.0000,255.0000,53.4442,12275,1.0000
65,128,128,0,1870.1139,102.5547,0.0000,255.0000,45.3773,11184,1.0000
66,128,128,0,2113.0916,118.0456,0.0000,255.0000,56.9887,11892,1.0000
67,128,128,0,1714.7126,90.0524,0.0000,255.0000,49.1241,11309,1.0000
68,128,128,0,1938.0989,98.5739,0.0000,255.0000,48.9317,11486,1.0000
69,128,128,0,1778.9214,106.6787,0.0000,255.0000,36.5508,11206,1.0000
70,128,128,0,1737.5431,109.4834,0.0000,255.0000,49.6418,11339,1.0000
71,128,128,0,2408.9414,73.5035,0.0000,255.0000,50.8947,7579,1.0000
72,128,128,0,2268.2881,103.0803,0.0000,255.0000,43.8868,9232,1.0000
73,128,128,0,1419.8065,159.6100,0.0000,255.0000,56.4526,9964,1.0000
74,128,128,0,1993.9684,81.7698,0.0000,255.0000,49.7814,8242,1.0000
75,128,128,0,2337.0842,93.4242,0.0000,255.0000,89.3679,9939,1.0000
76,128,128,0,484.1643,94.2602,0.0000,237.0000,44.7539,4158,1.0000
77,128,128,0,2081.6836,79.7308,0.0000,255.0000,51.3727,7052,1.0000
78,128,128,0,1061.7357,136.6874,0.0000,255.0000,77.6753,5635,1.0000
79,128,128,0,1901.1416,80.6243,0.0000,255.0000,62.9729,7586,1.0000
80,128,128,0,2722.8335,97.9740,0.0000,255.0000,54.0422,11211,1.0000
81,128,128,0,2870.3303,140.5998,0.0000,255.0000,49.6485,12509,1.0000
82,128,128,0,9830.2822,89.0144,0.0000,255.0000,60.7356,14955,1.0000
83,128,128,0,996.4727,192.5147,0.0000,255.0000,65.2238,8741,1.0000
84,128,128,0,1542.2611,163.6968,0.0000,255.0000,50.2871,8002,1.0000
85,128,128,0,1698.4773,117.2236,0.0000,255.0000,50.7475,8517,1.0000
86,128,128,0,2431.6089,138.0666,0.0000,255.0000,62.5287,8867,1.0000
87,128,128,0,1313.1467,131.4843,0.0000,255.0000,88.1594,5974,1.0000
88,128,128,0,1808.4407,119.2388,0.0000,255.0000,43.4585,6966,1.0000
89,128,128,0,1546.3248,116.5746,0.0000,255.0000,35.3842,7969,1.0000
90,128,128,0,2957.3423,96.2042,0.0000,255.0000,54.0783,11344,1.0000
91,128,128,0,2748.3206,106.4194,0.0000,255.0000,63.9524,12090,1.0000
92,128,128,0,1956.1849,106.8255,0.0000,255.0000,43.4047,9488,1.0000
93,128,128,0,1196.3799,91.6926,0.0000,235.0000,35.2901,9549,1.0000
94,128,128,0,5899.5015,104.4689,0.0000,255.0000,66.5276,13824,1.0000
95,128,128,0,4080.2051,95.1237,0.0000,255.0000,62.8780,13107,1.0000
96,128,128,0,6448.1572,128.0719,0.0000,255.0000,63.3091,13653,1.0000
97,128,128,0,3066.3350,97.3180,0.0000,255.0000,64.1749,11935,1.0000
98,128,128,0,5436.2700,99.1320,0.0000,255.0000,72.5600,13318,1.0000
99,128,128,0,5473.3774,114.1019,0.0000,255.0000,66.8082,13599,1.0000
100,128,128,0,4540.6738,101.7928,0.0000,255.0000,57.7488,13061,1.0000
101,128,128,0,6153.7349,101.5822,0.0000,255.0000,60.6305,13528,1.0000
102,128,128,0,6266.3184,101.0415,0.0000,255.0000,77.1179,13175,1.0000
103,128,128,0,402.8452,121.7588,0.0000,245.0000,39.1889,3706,1.0000
104,128,128,0,896.7055,155.2379,0.0000,255.0000,56.7815,4555,1.0000
