component_id,mean,sum,count,min,max
30477,1.829698,2.000000,0.914849,0.914849,0.914849
28967,1.788844,2.000000,0.894422,0.894422,0.894422
28368,1.778777,2.000000,0.889388,0.889388,0.889388
28137,1.760033,2.000000,0.880017,0.880017,0.880017
28123,1.767063,2.000000,0.883531,0.883531,0.883531
27899,1.768925,2.000000,0.884463,0.884463,0.884463
27751,1.802462,2.000000,0.901231,0.901231,0.901231
27507,5.330284,6.000000,0.888381,0.880725,0.903001
27217,1.810847,2.000000,0.905424,0.905424,0.905424
26475,5.348174,6.000000,0.891362,0.884050,0.896799
26464,1.823134,2.000000,0.911567,0.911567,0.911567
26319,3.534697,4.000000,0.883674,0.880802,0.886546
25827,1.768980,2.000000,0.884490,0.884490,0.884490
25548,1.776386,2.000000,0.888193,0.888193,0.888193
24788,1.791598,2.000000,0.895799,0.895799,0.895799
24768,1.842098,2.000000,0.921049,0.921049,0.921049
24747,1.768330,2.000000,0.884165,0.884165,0.884165
24055,1.831255,2.000000,0.915627,0.915627,0.915627
23949,1.769570,2.000000,0.884785,0.884785,0.884785
23543,1.760175,2.000000,0.880087,0.880087,0.880087
23497,1.767009,2.000000,0.883504,0.883504,0.883504
23142,1.870106,2.000000,0.935053,0.935053,0.935053
22939,1.772960,2.000000,0.886480,0.886480,0.886480
22863,3.622190,4.000000,0.905548,0.905328,0.905767
22851,1.799549,2.000000,0.899774,0.899774,0.899774
22622,1.809535,2.000000,0.904768,0.904768,0.904768
22294,2.000000,2.000000,1.000000,1.000000,1.000000
22174,1.791318,2.000000,0.895659,0.895659,0.895659
22055,1.774157,2.000000,0.887078,0.887078,0.887078
22029,2.000000,2.000000,1.000000,1.000000,1.000000
21767,5.875041,6.000000,0.979173,0.967408,0.985374
21480,6.000000,6.000000,1.000000,1.000000,1.000000
21327,5.681982,6.000000,0.946997,0.929635,0.972189
21322,1.834456,2.000000,0.917228,0.917228,0.917228
21278,1.767794,2.000000,0.883897,0.883897,0.883897
21216,2.000000,2.000000,1.000000,1.000000,1.000000
21128,5.949030,6.000000,0.991505,0.990041,0.994277
21052,1.940067,2.000000,0.970033,0.970033,0.970033
20968,1.769176,2.000000,0.884588,0.884588,0.884588
20949,1.992031,2.000000,0.996016,0.996016,0.996016
20802,1.966134,2.000000,0.983067,0.983067,0.983067
20765,1.999999,2.000000,1.000000,1.000000,1.000000
10254,1.782259,2.000000,0.891129,0.891129,0.891129
10245,3.689653,4.000000,0.922413,0.911395,0.933432
10185,1.905946,2.000000,0.952973,0.952973,0.952973
10163,5.408417,6.000000,0.901403,0.882704,0.923835
10134,1.774151,2.000000,0.887076,0.887076,0.887076
10116,1.887330,2.000000,0.943665,0.943665,0.943665
10099,1.821438,2.000000,0.910719,0.910719,0.910719
10067,3.585436,4.000000,0.896359,0.895041,0.897678
10057,1.772031,2.000000,0.886015,0.886015,0.886015
10018,1.810563,2.000000,0.905282,0.905282,0.905282
10011,1.784504,2.000000,0.892252,0.892252,0.892252
9977,1.764623,2.000000,0.882311,0.882311,0.882311
9966,1.823274,2.000000,0.911637,0.911637,0.911637
9925,3.625892,4.000000,0.906473,0.889703,0.923243
9869,1.805482,2.000000,0.902741,0.902741,0.902741
9834,3.650724,4.000000,0.912681,0.903094,0.922268
9833,1.793714,2.000000,0.896857,0.896857,0.896857
9809,1.825497,2.000000,0.912748,0.912748,0.912748
9775,1.881764,2.000000,0.940882,0.940882,0.940882
9738,1.764100,2.000000,0.882050,0.882050,0.882050
9730,1.881379,2.000000,0.940689,0.940689,0.940689
9724,1.999999,2.000000,1.000000,1.000000,1.000000
9714,5.805057,6.000000,0.967510,0.951264,1.000000
9697,1.853193,2.000000,0.926597,0.926597,0.926597
9689,1.981722,2.000000,0.990861,0.990861,0.990861
9659,1.895630,2.000000,0.947815,0.947815,0.947815
9655,1.945648,2.000000,0.972824,0.972824,0.972824
9611,1.822034,2.000000,0.911017,0.911017,0.911017
9581,1.767890,2.000000,0.883945,0.883945,0.883945
9569,1.901832,2.000000,0.950916,0.950916,0.950916
9561,1.818555,2.000000,0.909277,0.909277,0.909277
9554,1.902913,2.000000,0.951457,0.951457,0.951457
9543,1.991825,2.000000,0.995912,0.995912,0.995912
9533,1.866508,2.000000,0.933254,0.933254,0.933254
9512,1.815767,2.000000,0.907884,0.907884,0.907884
9508,1.931961,2.000000,0.965980,0.965980,0.965980
9497,11.708344,13.000000,0.900642,0.885433,0.925447
